Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
2022484408,4/16/2016,10100,7.090000153,7.090000153,0,3.150000095,0.550000012,3.390000105,0,41,11,151,1237,2177,2,368,376
2022484408,4/17/2016,15112,11.39999962,11.39999962,0,3.869999886,0.660000026,6.880000114,0,28,29,331,1052,2782,1,390,414
2022484408,4/18/2016,14131,10.06999969,10.06999969,0,3.640000105,0.119999997,6.300000191,0,48,3,311,1078,2770,1,471,495
2022484408,4/19/2016,11548,8.529999733,8.529999733,0,3.289999962,0.239999995,5,0,31,7,250,1152,2489,1,471,495
2022484408,4/20/2016,15112,10.67000008,10.67000008,0,3.339999914,1.929999948,5.400000095,0,48,63,276,1053,2897,1,472,496
2022484408,4/21/2016,12453,8.739999771,8.739999771,0,3.329999924,1.110000014,4.309999943,0,104,53,255,1028,3158,2,529,541
2022484408,4/22/2016,12954,9.329999924,9.329999924,0,4.429999828,0.419999987,4.46999979,0,52,10,273,1105,2638,1,62,65
2022484408,4/23/2016,6001,4.210000038,4.210000038,0,0,0,4.210000038,0,0,0,249,1191,2069,1,354,375
2022484408,4/24/2016,13481,10.27999973,10.27999973,0,4.550000191,1.149999976,4.579999924,0,37,26,216,1161,2529,1,469,494
2022484408,4/25/2016,11369,8.010000229,8.010000229,0,3.329999924,0.219999999,4.460000038,0,44,8,217,1171,2470,2,429,457
2022484408,4/26/2016,10119,7.190000057,7.190000057,0,1.429999948,0.660000026,5.110000134,0,55,24,275,1086,2793,2,370,406
2022484408,4/27/2016,10159,7.130000114,7.130000114,0,1.039999962,0.970000029,5.119999886,0,19,20,282,1119,2463,1,441,492
2022484408,4/28/2016,10140,7.119999886,7.119999886,0,0.409999996,1.330000043,5.389999866,0,6,20,291,1123,2296,2,337,379
2022484408,4/29/2016,10245,7.190000057,7.190000057,0,0.479999989,1.210000038,5.5,0,21,40,281,1098,2611,1,462,499
2022484408,4/30/2016,18387,12.90999985,12.90999985,0,0.939999998,1.399999976,10.56999969,0,13,23,361,1043,2732,1,98,107
2022484408,5/1/2016,10538,7.400000095,7.400000095,0,1.940000057,0.959999979,4.5,0,25,28,245,1142,2380,2,388,424
2022484408,5/2/2016,10379,7.289999962,7.289999962,0,2.609999895,0.340000004,4.329999924,0,36,8,277,1119,2473,1,439,462
2022484408,5/3/2016,12183,8.739999771,8.739999771,0,3.99000001,0.460000008,4.28000021,0,72,14,250,1104,2752,1,436,469
2022484408,5/4/2016,11768,8.289999962,8.289999962,0,2.50999999,0.930000007,4.849999905,0,36,27,272,1105,2649,1,388,417
2022484408,5/5/2016,11895,8.350000381,8.350000381,0,2.789999962,0.860000014,4.699999809,0,55,20,253,1112,2609,1,328,345
2022484408,5/6/2016,10227,7.179999828,7.179999828,0,1.870000005,0.670000017,4.639999866,0,24,17,295,1104,2498,2,353,391
2022484408,5/7/2016,6708,4.710000038,4.710000038,0,1.610000014,0.079999998,3.019999981,0,20,2,149,1269,1995,1,332,374
2022484408,5/8/2016,3292,2.309999943,2.309999943,0,0,0,2.309999943,0,0,0,135,1305,1848,1,419,442
2022484408,5/9/2016,13379,9.390000343,9.390000343,0,2.119999886,1.629999995,5.639999866,0,35,47,297,1061,2709,1,106,108
2022484408,5/10/2016,12798,8.979999542,8.979999542,0,2.220000029,1.210000038,5.559999943,0,57,28,271,1084,2797,1,322,353
2022484408,5/11/2016,13272,9.319999695,9.319999695,0,4.179999828,1.149999976,3.99000001,0,58,25,224,1133,2544,2,439,459
2022484408,5/12/2016,9117,6.409999847,6.409999847,0,1.279999971,0.670000017,4.440000057,0,16,16,236,728,1853,1,502,542
2026352035,4/12/2016,4414,2.74000001,2.74000001,0,0.189999998,0.349999994,2.200000048,0,3,8,181,706,1459,2,417,450
2026352035,4/13/2016,4993,3.099999905,3.099999905,0,0,0,3.099999905,0,0,0,238,663,1521,2,337,363
2026352035,4/14/2016,3335,2.069999933,2.069999933,0,0,0,2.049999952,0,0,0,197,653,1431,2,462,513
2026352035,4/15/2016,3821,2.369999886,2.369999886,0,0,0,2.369999886,0,0,0,188,687,1444,2,374,402
2026352035,4/16/2016,2547,1.580000043,1.580000043,0,0,0,1.580000043,0,0,0,150,728,1373,2,401,436
2026352035,4/17/2016,838,0.519999981,0.519999981,0,0,0,0.519999981,0,0,0,60,1053,1214,1,361,391
2026352035,4/18/2016,3325,2.059999943,2.059999943,0,0,0,2.059999943,0,0,0,182,1062,1419,1,457,533
2026352035,4/19/2016,2424,1.5,1.5,0,0,0,1.5,0,0,0,141,785,1356,1,405,426
2026352035,4/20/2016,7222,4.480000019,4.480000019,0,0,0,4.480000019,0,0,0,327,623,1667,1,499,530
2026352035,4/21/2016,2467,1.529999971,1.529999971,0,0,0,1.529999971,0,0,0,153,749,1370,1,483,501
2026352035,4/22/2016,2915,1.809999943,1.809999943,0,0,0,1.809999943,0,0,0,162,712,1399,1,126,137
2026352035,4/23/2016,12357,7.710000038,7.710000038,0,0,0,7.710000038,0,0,0,432,458,1916,1,103,121
2026352035,4/24/2016,3490,2.160000086,2.160000086,0,0,0,2.160000086,0,0,0,164,704,1401,1,171,179
2026352035,4/25/2016,6017,3.730000019,3.730000019,0,0,0,3.730000019,0,0,0,260,821,1576,1,115,129
2026352035,4/26/2016,5933,3.680000067,3.680000067,0,0,0,3.680000067,0,0,0,288,1018,1595,1,123,134
2026352035,4/27/2016,6088,3.769999981,3.769999981,0,0,0,3.769999981,0,0,0,286,586,1593,1,425,439
2026352035,4/28/2016,6375,3.950000048,3.950000048,0,0,0,3.950000048,0,0,0,331,626,1649,2,400,430
2026352035,4/29/2016,7604,4.710000038,4.710000038,0,0,0,4.710000038,0,0,0,352,492,1692,1,384,415
2026352035,4/30/2016,4729,2.930000067,2.930000067,0,0,0,2.930000067,0,0,0,233,594,1506,1,253,257
2026352035,5/1/2016,3609,2.279999971,2.279999971,0,0,0,2.279999971,0,0,0,191,716,1447,2,382,406
2026352035,5/2/2016,7018,4.349999905,4.349999905,0,0,0,4.349999905,0,0,0,355,716,1690,1,591,612
2026352035,5/3/2016,5992,3.720000029,3.720000029,0,0,0,3.720000029,0,0,0,304,981,1604,1,293,312
2026352035,5/4/2016,6564,4.070000172,4.070000172,0,0,0,4.070000172,0,0,0,345,530,1658,1,457,487
2026352035,5/5/2016,12167,7.539999962,7.539999962,0,0,0,7.539999962,0,0,0,475,479,1926,1,454,468
2026352035,5/6/2016,8198,5.079999924,5.079999924,0,0,0,5.079999924,0,0,0,383,511,1736,1,425,434
2026352035,5/7/2016,4193,2.599999905,2.599999905,0,0,0,2.599999905,0,0,0,229,665,1491,1,465,475
2026352035,5/8/2016,5528,3.450000048,3.450000048,0,0,0,3.450000048,0,0,0,258,610,1555,1,480,506
2026352035,5/9/2016,10685,6.619999886,6.619999886,0,0,0,6.599999905,0,0,0,401,543,1869,1,370,380
2026352035,5/10/2016,254,0.159999996,0.159999996,0,0,0,0.159999996,0,0,0,17,1002,1141,1,421,429
2026352035,5/11/2016,8580,5.320000172,5.320000172,0,0,0,5.320000172,0,0,0,330,569,1698,1,432,449
2026352035,5/12/2016,8891,5.510000229,5.510000229,0,0,0,5.510000229,0,0,0,343,330,1364,1,442,461
2320127002,4/12/2016,10725,7.489999771,7.489999771,0,1.169999957,0.310000002,6.010000229,0,13,9,306,1112,2124,1,433,447
